ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-07-09T01:59:41Z,ios,4481,LT,78.61.198.127,Oh No!,MARINA,The Family Jewels,spotify:track:4sNwdacKyi2S26WrRtNama,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720490376,True
2024-07-09T01:59:42Z,ios,1834,LT,78.61.198.127,Poker Face,Lady Gaga,The Fame,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720490381,True
2024-07-09T02:03:45Z,ios,243160,LT,78.61.198.127,Livin' la Vida Loca,Ricky Martin,Ricky Martin,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,,,,,,,,fwdbtn,trackdone,True,False,False,1720490382,True
2024-07-09T02:03:51Z,ios,5141,LT,78.61.198.127,Cha Cha Cha,Käärijä,Cha Cha Cha,spotify:track:5RX8T3EoTuXcybAxe6oPAw,,,,,,,,trackdone,backbtn,True,True,False,1720490625,True
2024-07-09T11:47:06Z,ios,240233,LT,78.61.198.127,Livin' la Vida Loca,Ricky Martin,Ricky Martin,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,,,,,,,,backbtn,endplay,True,True,False,1720490631,True
2024-07-09T11:47:12Z,ios,6037,LT,78.61.198.127,Ethereal (Sped Up),Clovis Reyes,Ethereal,spotify:track:3qEh61POukuDcmnw1WwJ4x,,,,,,,,clickrow,fwdbtn,True,True,False,1720525626,False
2024-07-09T11:47:13Z,ios,1160,LT,78.61.198.127,Farben - Alarm Mix,Orange Sector,Alarm,spotify:track:3tszOKYj3jpemFUNowQb9c,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525632,False
2024-07-09T11:47:14Z,ios,0,LT,78.61.198.127,khaos emerald,9lives,#exclusive,spotify:track:3KCK7509rDq8dPZ1Cm9bpY,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525633,False
2024-07-09T11:47:15Z,ios,0,LT,78.61.198.127,Goth,Sidewalks and Skeletons,White Light,spotify:track:0uMZbmAAgOhdMrv25iPEH6,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525634,False
2024-07-09T11:47:16Z,ios,1207,LT,78.61.198.127,Mood Romantica,Lamp,Tokyo Utopia Tsushin,spotify:track:1kXUjeEyOBgASxve7SLbrd,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525635,False
